gene	Knum
NODE_19569_length_963_cov_2849.901806_g13813_i0.p1	K05770
NODE_19570_length_963_cov_587.475169_g13814_i0.p1	K01126
NODE_19572_length_963_cov_438.598194_g13816_i0.p1	K24495
NODE_19573_length_963_cov_376.106095_g13817_i0.p1	K20478
NODE_19574_length_963_cov_297.713318_g13818_i0.p1	K19601
NODE_19577_length_963_cov_261.843115_g13819_i0.p1	K25432
NODE_19578_length_963_cov_146.748307_g13820_i0.p1	K11498
NODE_19579_length_963_cov_97.158014_g13821_i0.p2	K03469
NODE_1957_length_3472_cov_523.709867_g1314_i0.p1	K20478
NODE_19581_length_963_cov_41.173815_g13823_i0.p1	K01176
NODE_19582_length_963_cov_6.597065_g939_i11.p1	K04860
NODE_19583_length_962_cov_2194.325424_g13824_i0.p3	K18318
NODE_19583_length_962_cov_2194.325424_g13824_i0.p1	K10777
NODE_19584_length_962_cov_908.682486_g13212_i1.p1	K13124
NODE_19585_length_962_cov_722.048588_g13825_i0.p1	K09294
NODE_19586_length_962_cov_701.719774_g13826_i0.p1	K18592
NODE_19587_length_962_cov_224.021469_g13827_i0.p1	K12327
NODE_19588_length_962_cov_211.637288_g13828_i0.p1	K00988
NODE_1958_length_3471_cov_1726.770183_g1315_i0.p1	K22614
NODE_19590_length_962_cov_81.071186_g246_i3.p1	K03469
NODE_19591_length_962_cov_80.001130_g13830_i0.p1	K21125
NODE_19592_length_962_cov_25.476836_g13831_i0.p1	K10402
NODE_19593_length_962_cov_23.931073_g13832_i0.p1	K22390
NODE_19594_length_962_cov_16.616949_g13833_i0.p2	K14568
NODE_19595_length_962_cov_15.758192_g13834_i0.p4	K16740
NODE_19596_length_962_cov_14.647458_g13835_i0.p1	K09015
NODE_19597_length_962_cov_5.923164_g13836_i0.p1	K10914
NODE_19599_length_961_cov_7779.279412_g13838_i0.p2	K19360
NODE_1959_length_3470_cov_1170.055998_g1316_i0.p1	K20283
NODE_195_length_7154_cov_5835.673025_g108_i1.p9	K00123
NODE_195_length_7154_cov_5835.673025_g108_i1.p1	K1853
NODE_19600_length_961_cov_6188.884615_g13839_i0.p2	K02493
NODE_19601_length_961_cov_5533.509050_g970_i4.p1	K24220
NODE_19602_length_961_cov_4911.075792_g13840_i0.p1	K16307
NODE_19603_length_961_cov_3167.262443_g5786_i2.p1	K10396
NODE_19605_length_961_cov_314.466063_g13842_i0.p2	K01876
NODE_19606_length_961_cov_230.142534_g13843_i0.p1	K22390
NODE_19607_length_961_cov_201.716063_g13844_i0.p1	K08300
NODE_19608_length_961_cov_132.535068_g13845_i0.p1	K07300
NODE_19609_length_961_cov_68.358597_g13846_i0.p2	K04257
NODE_19609_length_961_cov_68.358597_g13846_i0.p4	K25612
NODE_1960_length_3468_cov_1295.442642_g1297_i1.p2	K20478
NODE_1960_length_3468_cov_1295.442642_g1297_i1.p4	K00901
NODE_19610_length_961_cov_22.498869_g13847_i0.p1	K21572
NODE_19611_length_961_cov_12.361991_g13848_i0.p1	K06997
NODE_19611_length_961_cov_12.361991_g13848_i0.p3	K04257
NODE_19612_length_961_cov_11.608597_g13849_i0.p1	K11366
NODE_19613_length_961_cov_9.906109_g13850_i0.p1	K19194
NODE_19616_length_960_cov_6448.577576_g13853_i0.p1	K06636
NODE_19617_length_960_cov_4959.161948_g13854_i0.p1	K01586
NODE_19618_length_960_cov_2153.140430_g13855_i0.p1	K23730
NODE_19619_length_960_cov_1978.252548_g13856_i0.p1	K20793
NODE_1961_length_3468_cov_107.422589_g1317_i0.p1	K14530
NODE_19620_length_960_cov_1829.788222_g13857_i0.p1	K05031
NODE_19621_length_960_cov_1712.636467_g13858_i0.p1	K05638
NODE_19622_length_960_cov_1562.775764_g13825_i1.p1	K14556
NODE_19624_length_960_cov_1158.916195_g13860_i0.p1	K0952
NODE_19625_length_960_cov_996.729332_g13861_i0.p1	K23444
NODE_19626_length_960_cov_460.241223_g13551_i1.p1	K02356
NODE_19627_length_960_cov_179.789354_g13862_i0.p4	K04614
NODE_19627_length_960_cov_179.789354_g13862_i0.p1	K11722
NODE_19628_length_960_cov_83.894677_g13863_i0.p1	K08303
NODE_19629_length_960_cov_63.397508_g13864_i0.p1	K19525
NODE_1962_length_3467_cov_5501.273156_g1318_i0.p2	K03257
NODE_1962_length_3467_cov_5501.273156_g1318_i0.p1	K23330
NODE_19630_length_960_cov_60.457531_g11833_i1.p1	K17291
NODE_19631_length_960_cov_15.471121_g13865_i0.p1	K04077
NODE_19632_length_960_cov_11.347678_g13866_i0.p2	K02478
NODE_19632_length_960_cov_11.347678_g13866_i0.p1	K19294
NODE_19633_length_960_cov_6.836920_g13867_i0.p1	K02652
NODE_19634_length_960_cov_5.864100_g13868_i0.p4	K15286
NODE_19635_length_959_cov_7175.178005_g13869_i0.p2	K20066
NODE_19636_length_959_cov_1290.775510_g12986_i1.p1	K10746
NODE_19638_length_959_cov_396.522676_g13871_i0.p2	K03771
NODE_19639_length_959_cov_220.413832_g13872_i0.p1	K06894
NODE_1963_length_3467_cov_1575.364307_g1319_i0.p1	K00889
NODE_19640_length_959_cov_217.240363_g13873_i0.p2	K22210
NODE_19641_length_959_cov_63.902494_g13874_i0.p1	K12132
NODE_19642_length_959_cov_11.671202_g13875_i0.p1	K19951
NODE_19643_length_959_cov_9.407029_g13876_i0.p1	K17975
NODE_19644_length_959_cov_4.283447_g13877_i0.p1	K08330
NODE_19645_length_958_cov_6684.842225_g11377_i1.p1	K10430
NODE_19646_length_958_cov_3011.903519_g13878_i0.p1	K22628
NODE_19647_length_958_cov_2359.760499_g13879_i0.p1	K05350
NODE_19648_length_958_cov_2014.232690_g13880_i0.p1	K22940
NODE_19649_length_958_cov_1744.990919_g13881_i0.p1	K05350
NODE_1964_length_3466_cov_117.848038_g1320_i0.p1	K09667
NODE_19650_length_958_cov_1628.725312_g13882_i0.p1	K01937
NODE_19651_length_958_cov_1476.934166_g13883_i0.p2	K06965
NODE_19652_length_958_cov_1428.112372_g13884_i0.p1	K04524
NODE_19653_length_958_cov_1355.633371_g13883_i1.p2	K06965
NODE_19654_length_958_cov_1180.635641_g3180_i1.p1	K03511
NODE_19655_length_958_cov_818.934166_g13885_i0.p1	K22940
NODE_19656_length_958_cov_757.881952_g13886_i0.p1	K19326
NODE_19657_length_958_cov_688.666288_g13887_i0.p1	K10768
NODE_19658_length_958_cov_531.872872_g13888_i0.p1	K00868
NODE_19659_length_958_cov_421.530079_g13889_i0.p1	K11527
NODE_1965_length_3466_cov_66.115078_g1321_i0.p1	K04954
NODE_19660_length_958_cov_307.438138_g13890_i0.p1	K03529
NODE_19661_length_958_cov_181.417707_g13891_i0.p1	K02757
NODE_19662_length_958_cov_173.752554_g13892_i0.p1	K13171
NODE_19663_length_958_cov_112.878547_g9608_i1.p1	K03284
NODE_19664_length_958_cov_97.290579_g13893_i0.p1	K20242
NODE_19666_length_958_cov_81.233825_g13895_i0.p1	K24734
NODE_19667_length_958_cov_43.007946_g12685_i1.p1	K06238
NODE_19668_length_958_cov_35.839955_g13896_i0.p2	K03469
NODE_19669_length_958_cov_22.150965_g13897_i0.p1	K08128
NODE_19670_length_958_cov_12.002270_g13898_i0.p1	K07316
NODE_19671_length_958_cov_2.247446_g13899_i0.p1	K25790
NODE_19672_length_957_cov_2354.313636_g13900_i0.p2	K14292
NODE_19673_length_957_cov_1648.795455_g13901_i0.p1	K08270
NODE_19674_length_957_cov_1307.115909_g13902_i0.p1	K11068
NODE_19675_length_957_cov_1040.655682_g13900_i1.p2	K14292
NODE_19676_length_957_cov_629.981818_g13903_i0.p2	K08855
NODE_19676_length_957_cov_629.981818_g13903_i0.p1	K17257
NODE_19677_length_957_cov_367.561364_g13904_i0.p1	K25554
NODE_19678_length_957_cov_223.331818_g13905_i0.p1	K03978
NODE_19679_length_957_cov_207.254545_g13906_i0.p1	K14947
NODE_19680_length_957_cov_172.439773_g13907_i0.p2	K16476
NODE_19681_length_957_cov_158.265909_g2143_i2.p1	K12471
NODE_19682_length_957_cov_71.784091_g8159_i1.p1	K03546
NODE_19683_length_957_cov_53.105682_g13908_i0.p1	K17785
NODE_19684_length_957_cov_50.863636_g13909_i0.p1	K24457
NODE_19685_length_957_cov_33.928409_g13910_i0.p1	K19021
NODE_19686_length_957_cov_24.446591_g13295_i1.p1	K01231
NODE_19687_length_957_cov_20.362500_g13911_i0.p1	K03254
NODE_19688_length_957_cov_18.619318_g13912_i0.p2	K09606
NODE_19689_length_957_cov_10.035227_g13913_i0.p1	K20222
NODE_19689_length_957_cov_10.035227_g13913_i0.p3	K24247
NODE_1968_length_3464_cov_379.319752_g1323_i0.p1	K03021
NODE_19690_length_957_cov_9.505682_g13914_i0.p1	K10408
NODE_19692_length_957_cov_6.387500_g13916_i0.p1	K15255
NODE_19693_length_957_cov_6.118182_g13917_i0.p1	K24475
NODE_19694_length_957_cov_3.612500_g13918_i0.p1	K17914
NODE_19695_length_956_cov_36828.167235_g13919_i0.p2	K01365
NODE_19696_length_956_cov_11603.050057_g13920_i0.p2	K00554
NODE_19697_length_956_cov_8736.521047_g13921_i0.p1	K07814
NODE_19699_length_956_cov_2254.703072_g13923_i0.p1	K05643
NODE_196_length_7125_cov_3209.446084_g104_i1.p2	K06110
NODE_196_length_7125_cov_3209.446084_g104_i1.p1	K23574
NODE_19700_length_956_cov_400.081911_g13924_i0.p1	K19026
NODE_19701_length_956_cov_294.972696_g4051_i3.p3	K06162
NODE_19701_length_956_cov_294.972696_g4051_i3.p1	K08106
NODE_19702_length_956_cov_287.944255_g13925_i0.p1	K18265
NODE_19704_length_956_cov_187.895336_g13926_i0.p1	K09288
NODE_19705_length_956_cov_149.091013_g4000_i5.p3	K20282
NODE_19705_length_956_cov_149.091013_g4000_i5.p2	K21110
NODE_19707_length_956_cov_70.324232_g13928_i0.p1	K02283
NODE_19709_length_956_cov_42.248009_g11090_i1.p1	K11269
NODE_1970_length_3462_cov_12072.793205_g1325_i0.p8	K17279
NODE_1970_length_3462_cov_12072.793205_g1325_i0.p6	K11217
NODE_1970_length_3462_cov_12072.793205_g1325_i0.p1	K07482
NODE_1970_length_3462_cov_12072.793205_g1325_i0.p4	K16763
NODE_19710_length_956_cov_32.927190_g13930_i0.p1	K10352
NODE_19711_length_956_cov_32.395904_g13931_i0.p1	K19041
NODE_19712_length_956_cov_19.564278_g13932_i0.p1	K02887
NODE_19713_length_956_cov_16.339022_g13700_i1.p1	K16815
NODE_19714_length_956_cov_4.643914_g13933_i0.p1	K01873
NODE_19715_length_956_cov_2.643914_g13934_i0.p1	K00937
NODE_19716_length_956_cov_2.323094_g13935_i0.p1	K15255
NODE_19717_length_955_cov_17345.159453_g2546_i4.p2	K00383
NODE_19718_length_955_cov_12554.916856_g4337_i2.p2	K00939
NODE_19719_length_955_cov_12515.658314_g4337_i3.p2	K00939
NODE_1971_length_3461_cov_11.431442_g1326_i0.p1	K03040
NODE_1971_length_3461_cov_11.431442_g1326_i0.p5	K00939
NODE_19720_length_955_cov_12515.485194_g4337_i4.p1	K00939
NODE_19721_length_955_cov_12489.403189_g4337_i5.p2	K00939
NODE_19723_length_955_cov_5455.905467_g13936_i0.p2	K10402
NODE_19724_length_955_cov_3475.900911_g13937_i0.p1	K07562
NODE_19726_length_955_cov_1725.191344_g13939_i0.p1	K00725
NODE_19727_length_955_cov_683.700456_g7894_i3.p1	K07825
NODE_19728_length_955_cov_609.193622_g13940_i0.p1	K10050
NODE_19729_length_955_cov_591.134396_g2217_i1.p1	K01256
NODE_19730_length_955_cov_589.079727_g5438_i2.p1	K0090
NODE_19731_length_955_cov_365.924829_g13941_i0.p1	K19533
NODE_19732_length_955_cov_317.601367_g13807_i1.p2	K23439
NODE_19733_length_955_cov_264.351936_g13942_i0.p1	K06666
NODE_19734_length_955_cov_160.931663_g8041_i1.p1	K10382
NODE_19735_length_955_cov_147.777904_g13426_i1.p1	K01580
NODE_19736_length_955_cov_24.637813_g10304_i1.p1	K08602
NODE_19737_length_955_cov_21.354214_g13943_i0.p1	K03469
NODE_19738_length_955_cov_19.719818_g10304_i2.p1	K08602
NODE_19739_length_955_cov_7.747153_g13944_i0.p1	K17591
NODE_1973_length_3459_cov_2121.971319_g943_i1.p2	K04236
NODE_19740_length_955_cov_6.194761_g13945_i0.p2	K02967
NODE_19741_length_955_cov_6.173121_g13946_i0.p1	K13164
NODE_19742_length_955_cov_4.724374_g13947_i0.p1	K03546
NODE_19743_length_955_cov_3.198178_g13948_i0.p1	K23728
NODE_19744_length_955_cov_2.922551_g13949_i0.p1	K00525
NODE_19745_length_954_cov_16685.890536_g7075_i1.p2	K17725
NODE_19746_length_954_cov_15224.340935_g13950_i0.p1	K05858
NODE_19747_length_954_cov_4050.852908_g8666_i2.p1	K03657
NODE_19748_length_954_cov_2381.542759_g13951_i0.p1	K23966
NODE_19749_length_954_cov_1783.334094_g13952_i0.p1	K08489
NODE_1974_length_3458_cov_1018.094942_g473_i3.p1	K25802
NODE_19750_length_954_cov_1580.298746_g13953_i0.p1	K05740
NODE_19751_length_954_cov_1374.072976_g11126_i1.p1	K12641
NODE_19752_length_954_cov_1203.977195_g13954_i0.p2	K09499
NODE_19753_length_954_cov_436.971494_g13955_i0.p1	K09228
NODE_19755_length_954_cov_335.754846_g11999_i1.p1	K15255
NODE_19756_length_954_cov_242.576967_g13957_i0.p3	K12473
NODE_19756_length_954_cov_242.576967_g13957_i0.p1	K01924
NODE_19757_length_954_cov_235.548461_g13958_i0.p1	K03978
NODE_19758_length_954_cov_234.399088_g13959_i0.p1	K20276
NODE_19759_length_954_cov_170.672748_g13960_i0.p1	K00888
NODE_1975_length_3458_cov_166.941733_g1327_i0.p1	K0491
NODE_19760_length_954_cov_153.503991_g13961_i0.p1	K11499
NODE_19762_length_954_cov_77.571266_g13962_i0.p1	K10357
NODE_19763_length_954_cov_56.942987_g3149_i1.p1	K03546
NODE_19764_length_954_cov_39.116306_g13963_i0.p1	K01593
NODE_19766_length_954_cov_21.767389_g13965_i0.p1	K04405
NODE_19767_length_954_cov_12.242873_g13966_i0.p1	K01141
NODE_19768_length_954_cov_9.872292_g13967_i0.p3	K02996
NODE_19768_length_954_cov_9.872292_g13967_i0.p2	K02871
NODE_19769_length_954_cov_7.887115_g13968_i0.p1	K03469
NODE_1976_length_3456_cov_13056.239124_g877_i2.p1	K24729
NODE_19770_length_954_cov_4.311288_g13969_i0.p1	K01915
NODE_19771_length_954_cov_3.842645_g13970_i0.p1	K19533
NODE_19772_length_953_cov_20163.633562_g10380_i2.p1	K25551
NODE_19773_length_953_cov_917.043379_g13971_i0.p1	K17887
NODE_19774_length_953_cov_646.897260_g13972_i0.p1	K05770
NODE_19775_length_953_cov_580.187215_g13973_i0.p1	K22869
NODE_19776_length_953_cov_544.819635_g9655_i3.p1	K15505
NODE_19777_length_953_cov_471.444064_g13380_i1.p1	K18625
NODE_19778_length_953_cov_401.747717_g9655_i4.p1	K15505
NODE_19779_length_953_cov_179.253425_g8634_i3.p4	K22290
NODE_1977_length_3456_cov_383.689257_g1328_i0.p1	K06236
NODE_19780_length_953_cov_138.428082_g13974_i0.p1	K03406
NODE_19782_length_953_cov_131.977169_g13976_i0.p1	K03604
NODE_19783_length_953_cov_121.115297_g13977_i0.p1	K13825
NODE_19784_length_953_cov_96.307078_g13978_i0.p1	K03086
NODE_19785_length_953_cov_92.718037_g13979_i0.p1	K1738
NODE_19786_length_953_cov_88.107306_g8159_i2.p1	K00826
NODE_19787_length_953_cov_77.716895_g8159_i3.p1	K00826
NODE_19788_length_953_cov_57.013699_g13980_i0.p2	K02891
NODE_19789_length_953_cov_34.350457_g13981_i0.p2	K20827
NODE_19790_length_953_cov_10.240868_g13982_i0.p1	K16449
NODE_19792_length_953_cov_5.369863_g13984_i0.p1	K20478
NODE_19796_length_952_cov_60227.053714_g9695_i5.p3	K03609
NODE_19797_length_952_cov_59649.788571_g9695_i6.p2	K03609
NODE_19798_length_952_cov_57854.128000_g9695_i7.p2	K03609
NODE_19799_length_952_cov_57813.828571_g9695_i8.p3	K03609
NODE_1979_length_3455_cov_1181.502368_g473_i4.p1	K25802
NODE_197_length_7109_cov_1431.500284_g116_i0.p1	K2009
NODE_19800_length_952_cov_32119.217143_g13988_i0.p1	K22125
NODE_19801_length_952_cov_6967.937143_g10767_i1.p1	K10380
NODE_19802_length_952_cov_3566.588571_g13989_i0.p1	K08963
NODE_19803_length_952_cov_3156.238857_g13990_i0.p1	K08148
NODE_19804_length_952_cov_2039.517714_g13991_i0.p1	K00016
NODE_19805_length_952_cov_969.243429_g13992_i0.p1	K12035
NODE_19806_length_952_cov_876.241143_g11504_i2.p1	K22379
NODE_19807_length_952_cov_822.411429_g13993_i0.p2	K12035
NODE_19808_length_952_cov_608.270857_g13994_i0.p1	K25439
NODE_19809_length_952_cov_320.057143_g4629_i5.p1	K12327
NODE_1980_length_3455_cov_1158.025755_g473_i5.p1	K25802
NODE_19810_length_952_cov_127.809143_g13995_i0.p1	K0189
NODE_19811_length_952_cov_96.118857_g13996_i0.p1	K00613
NODE_19813_length_952_cov_23.606857_g13998_i0.p1	K20286
NODE_19815_length_952_cov_14.304000_g14000_i0.p1	K07093
NODE_19817_length_952_cov_7.564571_g13220_i1.p2	K14059
NODE_19817_length_952_cov_7.564571_g13220_i1.p3	K04759
NODE_19818_length_952_cov_4.192000_g14002_i0.p1	K02111
NODE_19819_length_952_cov_2.680000_g14003_i0.p3	K11532
NODE_1981_length_3455_cov_483.453523_g1330_i0.p2	K04977
NODE_19820_length_951_cov_9917.076659_g14004_i0.p1	K01011
NODE_19821_length_951_cov_6267.030892_g14005_i0.p2	K10513
NODE_19822_length_951_cov_1671.844394_g4405_i2.p1	K16549
NODE_19823_length_951_cov_958.536613_g14006_i0.p1	K18747
NODE_19824_length_951_cov_694.834096_g13994_i1.p1	K25439
NODE_19825_length_951_cov_379.271167_g3421_i4.p2	K16195
NODE_19826_length_951_cov_306.321510_g14007_i0.p2	K23616
NODE_19827_length_951_cov_222.429062_g9532_i1.p1	K14462
NODE_19828_length_951_cov_177.572082_g14008_i0.p1	K15115
NODE_19829_length_951_cov_77.760870_g14009_i0.p1	K07777
NODE_1982_length_3455_cov_435.912078_g1331_i0.p2	K05288
NODE_1982_length_3455_cov_435.912078_g1331_i0.p1	K04550
NODE_1982_length_3455_cov_435.912078_g1331_i0.p4	K22046
NODE_19832_length_951_cov_16.427918_g11739_i1.p2	K03656
NODE_19833_length_950_cov_8760.982818_g4071_i2.p1	K03124
NODE_19834_length_950_cov_6083.537228_g10882_i2.p3	K11850
NODE_19835_length_950_cov_6013.372279_g14012_i0.p1	K13412
NODE_19836_length_950_cov_4872.758305_g14013_i0.p1	K14550
NODE_19837_length_950_cov_4872.421535_g14014_i0.p1	K0950
NODE_19839_length_950_cov_4557.556701_g14015_i0.p1	K08836
NODE_1983_length_3454_cov_10173.934557_g1332_i0.p2	K10750
NODE_1983_length_3454_cov_10173.934557_g1332_i0.p3	K01510
NODE_19841_length_950_cov_4424.026346_g14017_i0.p1	K06572
NODE_19842_length_950_cov_4191.468499_g14018_i0.p1	K15262
NODE_19843_length_950_cov_3840.098511_g12129_i3.p1	K0052
NODE_19844_length_950_cov_1594.815578_g14019_i0.p1	K10591
NODE_19845_length_950_cov_988.910653_g14020_i0.p4	K12485
NODE_19846_length_950_cov_875.586483_g14021_i0.p3	K03327
NODE_19846_length_950_cov_875.586483_g14021_i0.p2	K14794
NODE_19847_length_950_cov_387.286369_g14022_i0.p1	K03346
NODE_19848_length_950_cov_381.009164_g14023_i0.p1	K07218
NODE_1984_length_3453_cov_527.034656_g1331_i1.p1	K04550
NODE_1984_length_3453_cov_527.034656_g1331_i1.p2	K05288
NODE_1984_length_3453_cov_527.034656_g1331_i1.p3	K10639
NODE_19850_length_950_cov_182.947308_g14025_i0.p3	K17589
NODE_19851_length_950_cov_151.434135_g14026_i0.p1	K09228
NODE_19852_length_950_cov_114.172967_g14027_i0.p1	K24146
NODE_19853_length_950_cov_109.973654_g14028_i0.p3	K03975
NODE_19854_length_950_cov_88.032073_g13034_i2.p1	K14856
NODE_19855_length_950_cov_55.473081_g13034_i3.p1	K24937
NODE_19856_length_950_cov_23.742268_g6838_i2.p1	K01971
NODE_19857_length_950_cov_15.554410_g14029_i0.p1	K04487
NODE_19859_length_950_cov_12.012600_g14031_i0.p1	K01142
NODE_1985_length_3453_cov_67.912026_g647_i1.p5	K19520
NODE_1985_length_3453_cov_67.912026_g647_i1.p2	K20276
NODE_1985_length_3453_cov_67.912026_g647_i1.p4	K02653
NODE_1985_length_3453_cov_67.912026_g647_i1.p1	K10742
NODE_19860_length_950_cov_9.910653_g14032_i0.p1	K16201
NODE_19861_length_950_cov_6.670103_g14033_i0.p1	K00142
NODE_19862_length_950_cov_5.839633_g14034_i0.p1	K20283
NODE_19863_length_950_cov_4.723940_g14035_i0.p1	K07407
NODE_19864_length_949_cov_10163.619266_g3916_i5.p1	K02004
NODE_19865_length_949_cov_8042.100917_g790_i3.p2	K01184
NODE_19866_length_949_cov_7409.285550_g790_i4.p2	K01184
NODE_19867_length_949_cov_7315.071101_g14036_i0.p1	K01155
NODE_19868_length_949_cov_2767.011468_g14037_i0.p1	K03075
NODE_19869_length_949_cov_2172.768349_g4013_i1.p1	K09042
NODE_19870_length_949_cov_1644.246560_g4013_i2.p1	K09042
NODE_19871_length_949_cov_1581.225917_g14038_i0.p2	K18932
NODE_19872_length_949_cov_789.819954_g14039_i0.p1	K01735
NODE_19873_length_949_cov_685.246560_g14040_i0.p1	K14769
NODE_19874_length_949_cov_486.956422_g14041_i0.p1	K13448
NODE_19875_length_949_cov_463.204128_g14042_i0.p1	K08472
NODE_19876_length_949_cov_348.158257_g14043_i0.p1	K17890
NODE_19878_length_949_cov_171.181193_g13535_i1.p1	K15173
NODE_19880_length_949_cov_108.915138_g14046_i0.p1	K10636
NODE_19881_length_949_cov_48.123853_g353_i14.p1	K19006
NODE_19882_length_949_cov_13.316514_g14047_i0.p1	K04755
NODE_19883_length_949_cov_4.219037_g14048_i0.p1	K16910
NODE_19884_length_948_cov_41594.714122_g14049_i0.p1	K19755
NODE_19885_length_948_cov_12026.730195_g14050_i0.p1	K02725
NODE_19886_length_948_cov_7486.304248_g129_i8.p1	K07114
NODE_19887_length_948_cov_4423.205511_g14051_i0.p1	K07154
NODE_19888_length_948_cov_2451.117107_g14052_i0.p1	K20478
NODE_1988_length_3452_cov_376.160000_g1222_i1.p1	K2186
NODE_19890_length_948_cov_1746.270953_g14054_i0.p1	K12485
NODE_19891_length_948_cov_1439.024110_g1644_i7.p1	K17975
NODE_19892_length_948_cov_456.640643_g14055_i0.p1	K06240
NODE_19893_length_948_cov_228.233065_g14056_i0.p1	K00808
NODE_19895_length_948_cov_196.089552_g14058_i0.p1	K11262
NODE_19896_length_948_cov_163.090700_g14059_i0.p1	K06980
NODE_19897_length_948_cov_140.284730_g14060_i0.p1	K22236
NODE_19898_length_948_cov_82.430540_g14061_i0.p3	K03413
NODE_19898_length_948_cov_82.430540_g14061_i0.p2	K03407
NODE_198_length_7103_cov_1425.522203_g116_i1.p1	K2009
NODE_19900_length_948_cov_44.254879_g14063_i0.p1	K00367
NODE_19901_length_948_cov_36.528129_g2459_i6.p1	K10576
NODE_19903_length_948_cov_30.149254_g14065_i0.p1	K19754
NODE_19904_length_948_cov_27.130884_g14066_i0.p3	K14963
NODE_19905_length_948_cov_15.114811_g14067_i0.p5	K24526
NODE_19906_length_948_cov_2.818599_g14068_i0.p1	K22020
NODE_19907_length_947_cov_5489.902299_g7082_i1.p1	K09497
NODE_19908_length_947_cov_5390.887356_g7114_i2.p2	K08827
NODE_19909_length_947_cov_2390.000000_g14069_i0.p1	K06630
NODE_1990_length_3451_cov_7736.994369_g509_i4.p9	K16913
NODE_1990_length_3451_cov_7736.994369_g509_i4.p1	K06671
NODE_19910_length_947_cov_1869.405747_g14070_i0.p1	K01998
NODE_19911_length_947_cov_1571.182759_g2008_i1.p1	K07605
NODE_19912_length_947_cov_729.073563_g14071_i0.p1	K05769
NODE_19913_length_947_cov_536.825287_g6134_i1.p3	K24523
NODE_19913_length_947_cov_536.825287_g6134_i1.p2	K17473
NODE_19914_length_947_cov_479.183908_g7024_i7.p1	K00651
NODE_19915_length_947_cov_364.602299_g14072_i0.p1	K02218
NODE_19916_length_947_cov_305.552874_g14073_i0.p1	K24745
NODE_19917_length_947_cov_183.526437_g14074_i0.p1	K25138
NODE_19918_length_947_cov_179.379310_g14075_i0.p1	K1820
NODE_1991_length_3450_cov_3894.395790_g1335_i0.p1	K03163
NODE_1991_length_3450_cov_3894.395790_g1335_i0.p3	K00297
NODE_1991_length_3450_cov_3894.395790_g1335_i0.p4	K25111
NODE_1991_length_3450_cov_3894.395790_g1335_i0.p7	K04043
NODE_19921_length_947_cov_139.095402_g14076_i0.p1	K10422
NODE_19923_length_947_cov_29.588506_g14078_i0.p1	K01892
NODE_19924_length_947_cov_12.062069_g14079_i0.p1	K20478
NODE_19925_length_947_cov_8.879310_g14080_i0.p1	K13100
NODE_19926_length_947_cov_8.398851_g14081_i0.p1	K17902
NODE_19927_length_947_cov_5.985057_g14082_i0.p1	K15725
NODE_19928_length_947_cov_5.373563_g14083_i0.p1	K1327
NODE_19929_length_947_cov_5.021839_g14084_i0.p1	K11498
NODE_19930_length_946_cov_9006.690449_g14085_i0.p1	K18753
NODE_19931_length_946_cov_3699.682394_g4542_i2.p1	K23379
NODE_19932_length_946_cov_3195.653625_g14086_i0.p2	K19533
NODE_19933_length_946_cov_2851.567319_g565_i5.p3	K23380
NODE_19933_length_946_cov_2851.567319_g565_i5.p2	K05198
NODE_19934_length_946_cov_2833.756041_g13590_i1.p1	K03624
NODE_19935_length_946_cov_1389.483314_g14087_i0.p1	K23901
NODE_19936_length_946_cov_1356.402762_g14088_i0.p1	K00079
NODE_19937_length_946_cov_635.142693_g14089_i0.p1	K26154
NODE_19938_length_946_cov_618.383199_g14090_i0.p1	K00799
NODE_19939_length_946_cov_268.118527_g14091_i0.p1	K09667
NODE_1993_length_3450_cov_1785.258820_g1337_i0.p5	K18911
NODE_1993_length_3450_cov_1785.258820_g1337_i0.p1	K23438
NODE_19940_length_946_cov_215.637514_g14092_i0.p1	K09667
NODE_19941_length_946_cov_34.326812_g14093_i0.p1	K13448
NODE_19942_length_946_cov_5.745685_g14094_i0.p1	K20121
NODE_19943_length_945_cov_32320.735023_g14095_i0.p2	K16767
NODE_19945_length_945_cov_2451.165899_g14097_i0.p1	K24195
NODE_19946_length_945_cov_592.973502_g13973_i1.p1	K06674
NODE_19947_length_945_cov_569.502304_g14098_i0.p1	K17083
NODE_19951_length_945_cov_288.457373_g14102_i0.p1	K14768
NODE_19952_length_945_cov_244.561060_g14103_i0.p1	K03686
NODE_19953_length_945_cov_216.680876_g14104_i0.p1	K20276
NODE_19954_length_945_cov_154.422811_g14105_i0.p1	K19801
NODE_19956_length_945_cov_40.845622_g14106_i0.p1	K20478
NODE_19957_length_945_cov_11.592166_g14107_i0.p2	K03469
NODE_19958_length_945_cov_8.747696_g14108_i0.p1	K18655
NODE_19959_length_945_cov_2.312212_g14109_i0.p1	K11422
NODE_1995_length_3447_cov_3041.052226_g1339_i0.p1	K05605
NODE_19960_length_944_cov_66618.711649_g14110_i0.p3	K03283
NODE_19961_length_944_cov_9221.840830_g121_i2.p1	K13094
NODE_19962_length_944_cov_4526.376009_g14111_i0.p1	K13106
NODE_19963_length_944_cov_2634.275663_g14112_i0.p2	K10439
NODE_19964_length_944_cov_680.229527_g14113_i0.p1	K22754
NODE_19965_length_944_cov_621.903114_g352_i3.p1	K12619
NODE_19966_length_944_cov_78.170704_g1189_i3.p1	K13094
NODE_19967_length_944_cov_63.797001_g14114_i0.p1	K23781
